State,Division,Winner,Party
NSW,Banks,MELHAM,ALP
NSW,Barton,McCLELLAND,ALP
NSW,Bennelong,HOWARD,LP
NSW,Berowra,RUDDOCK,LP
NSW,Blaxland,KEATING,ALP
NSW,Bradfield,NELSON,LP
NSW,Calare,ANDREN,IND
NSW,Charlton,BROWN,ALP
NSW,Chifley,PRICE,ALP
NSW,Cook,MUTCH,LP
NSW,Cowper,NEHL,NPA
NSW,Cunningham,MARTIN,ALP
NSW,Dobell,LEE,ALP
NSW,Eden-Monaro,NAIRN,LP
NSW,Farrer,FISCHER,NPA
NSW,Fowler,GRACE,ALP
NSW,Gilmore,GASH,LP
NSW,Grayndler,ALBANESE,ALP
NSW,Greenway,MOSSFIELD,ALP
NSW,Gwydir,ANDERSON,NPA
NSW,Hughes,VALE,LP
NSW,Hume,SHARP,NPA
NSW,Hunter,FITZGIBBON,ALP
NSW,Kingsford-Smith,BRERETON,ALP
NSW,Lindsay,KELLY,LP
NSW,Lowe,ZAMMIT,LP
NSW,Lyne,VAILE,NPA
NSW,Macarthur,FAHEY,LP
NSW,Mackellar,BISHOP,LP
NSW,Macquarie,BARTLETT,LP
NSW,Mitchell,CADMAN,LP
NSW,New England,SINCLAIR,NPA
NSW,Newcastle,MORRIS,ALP
NSW,North Sydney,HOCKEY,LP
NSW,Page,CAUSLEY,NPA
NSW,Parkes,COBB,NPA
NSW,Parramatta,CAMERON,LP
NSW,Paterson,BALDWIN,LP
NSW,Prospect,CROSIO,ALP
NSW,Reid,FERGUSON,ALP
NSW,Richmond,ANTHONY,NPA
NSW,Riverina,HICKS,NPA
NSW,Robertson,LLOYD,LP
NSW,Shortland,MORRIS,ALP
NSW,Sydney,BALDWIN,ALP
NSW,Throsby,HOLLIS,ALP
NSW,Warringah,ABBOTT,LP
NSW,Watson,McLEAY,ALP
NSW,Wentworth,THOMSON,LP
NSW,Werriwa,LATHAM,ALP
VIC,Aston,NUGENT,LP
VIC,Ballarat,RONALDSON,LP
VIC,Batman,FERGUSON,ALP
VIC,Bendigo,REID,LP
VIC,Bruce,GRIFFIN,ALP
VIC,Burke,O'KEEFE,ALP
VIC,Calwell,THEOPHANOUS,ALP
VIC,Casey,HALVERSON,LP
VIC,Chisholm,WOOLDRIDGE,LP
VIC,Corangamite,McARTHUR,LP
VIC,Corio,O'CONNOR,ALP
VIC,Deakin,BARRESI,LP
VIC,Dunkley,BILLSON,LP
VIC,Flinders,REITH,LP
VIC,Gellibrand,WILLIS,ALP
VIC,Gippsland,McGAURAN,NPA
VIC,Goldstein,KEMP,LP
VIC,Higgins,COSTELLO,LP
VIC,Holt,EVANS,ALP
VIC,Hotham,CREAN,ALP
VIC,Indi,LIEBERMAN,LP
VIC,Isaacs,WILTON,ALP
VIC,Jagajaga,MACKLIN,ALP
VIC,Kooyong,GEORGIOU,LP
VIC,La Trobe,CHARLES,LP
VIC,Lalor,JONES,ALP
VIC,Mcewen,BAILEY,LP
VIC,Mcmillan,BROADBENT,LP
VIC,Mallee,FORREST,NPA
VIC,Maribyrnong,SERCOMBE,ALP
VIC,Melbourne,TANNER,ALP
VIC,Melbourne Ports,HOLDING,ALP
VIC,Menzies,ANDREWS,LP
VIC,Murray,STONE,LP
VIC,Scullin,JENKINS,ALP
VIC,Wannon,HAWKER,LP
VIC,Wills,THOMPSON,ALP
QLD,Bowman,WEST,LP
QLD,Brisbane,BEVIS,ALP
QLD,Capricornia,MAREK,NPA
QLD,Dawson,KELLY,NPA
QLD,Dickson,SMITH,LP
QLD,Fadden,JULL,LP
QLD,Fairfax,SOMLYAY,LP
QLD,Fisher,SLIPPER,LP
QLD,Forde,ELSON,LP
QLD,Griffith,McDOUGALL,LP
QLD,Groom,TAYLOR,LP
QLD,Herbert,LINDSAY,LP
QLD,Hinkler,NEVILLE,NPA
QLD,Kennedy,KATTER,NPA
QLD,Leichhardt,ENTSCH,LP
QLD,Lilley,GRACE,LP
QLD,Longman,BROUGH,LP
QLD,Mcpherson,BRADFORD,LP
QLD,Maranoa,SCOTT,NPA
QLD,Moncrieff,SULLIVAN,LP
QLD,Moreton,HARDGRAVE,LP
QLD,Oxley,HANSON,IND
QLD,Petrie,GAMBARO,LP
QLD,Rankin,BEDDALL,ALP
QLD,Ryan,MOORE,LP
