State,Division,Winner,Party
NSW,Banks,MOUNTFORD,ALP
NSW,Barton,PUNCH,ALP
NSW,Bennelong,HOWARD,LP
NSW,Berowra,EDWARDS,LP
NSW,Blaxland,KEATING,ALP
NSW,Bradfield,CONNOLLY,LP
NSW,Calare,SIMMONS,ALP
NSW,Charlton,BROWN,ALP
NSW,Chifley,PRICE,ALP
NSW,Cook,DOBIE,LP
NSW,Cowper,NEHL,NPA
NSW,Cunningham,WEST,ALP
NSW,Dobell,LEE,ALP
NSW,Dundas,RUDDOCK,LP
NSW,Eden-Monaro,SNOW,ALP
NSW,Farrer,FISCHER,NPA
NSW,Fowler,GRACE,ALP
NSW,Gilmore,SHARP,NPA
NSW,Grayndler,McLEAY,ALP
NSW,Greenway,GORMAN,ALP
NSW,Gwydir,HUNT,NPA
NSW,Hughes,TICKNER,ALP
NSW,Hume,FIFE,LP
NSW,Hunter,FITZGIBBON,ALP
NSW,Kingsford-Smith,BOWEN,ALP
NSW,Lindsay,FREE,ALP
NSW,Lowe,MAHER,ALP
NSW,Lyne,COWAN,NPA
NSW,Macarthur,MARTIN,ALP
NSW,Mackellar,CARLTON,LP
NSW,Macquarie,WEBSTER,LP
NSW,Mitchell,CADMAN,LP
NSW,New England,SINCLAIR,NPA
NSW,Newcastle,MORRIS,ALP
NSW,North Sydney,SPENDER,LP
NSW,Page,ROBINSON,NPA
NSW,Parkes,COBB,NPA
NSW,Parramatta,BROWN,ALP
NSW,Phillip,McHUGH,ALP
NSW,Prospect,KLUGMAN,ALP
NSW,Reid,UREN,ALP
NSW,Richmond,BLUNT,NPA
NSW,Riverina-Darling,HICKS,NPA
NSW,Robertson,COHEN,ALP
NSW,Shortland,MORRIS,ALP
NSW,St George,DUBOIS,ALP
NSW,Sydney,BALDWIN,ALP
NSW,Throsby,HOLLIS,ALP
NSW,Warringah,MACKELLAR,LP
NSW,Wentworth,COLEMAN,LP
NSW,Werriwa,KERIN,ALP
VIC,Aston,SAUNDERSON,ALP
VIC,Ballarat,MILDREN,ALP
VIC,Batman,HOWE,ALP
VIC,Bendigo,BRUMBY,ALP
VIC,Bruce,ALDRED,LP
VIC,Burke,O'KEEFE,ALP
VIC,Calwell,THEOPHANOUS,ALP
VIC,Casey,HALVERSON,LP
VIC,Chisholm,MAYER,ALP
VIC,Corangamite,McARTHUR,LP
VIC,Corio,SCHOLES,ALP
VIC,Deakin,BEALE,LP
