State,Division,Winner,Party
NSW,Barton,McDONALD,ALP
NSW,Calare,HOWSE,NAT
NSW,Cook,RILEY,ALP
NSW,Cowper,PAGE,CP
NSW,Dalley,MAHONY,ALP
NSW,Darling,BLAKELEY,ALP
NSW,East Sydney,WEST,ALP
NSW,Eden-Monaro,CHAPMAN,NAT
NSW,Gwydir,CUNNINGHAM,ALP
NSW,Hume,MOLONEY,ALP
NSW,Hunter,CHARLTON,ALP
NSW,Lang,JOHNSON,NAT
NSW,Macquarie,MANNING,NAT
NSW,Martin,PRATTEN,NAT
NSW,New England,THOMPSON,CP
NSW,Newcastle,,
NSW,North Sydney,HUGHES,NAT
NSW,Parkes,MARR,NAT
NSW,Parramatta,BOWDEN,NAT
NSW,Reid,,
NSW,Richmond,GREEN,CP
NSW,Riverina,KILLEN,CP
NSW,Robertson,GARDNER,NAT
NSW,South Sydney,RILEY,ALP
NSW,Warringah,RYRIE,NAT
NSW,Wentworth,MARKS,NAT
NSW,Werriwa,LAZZARINI,ALP
NSW,West Sydney,LAMBERT,ALP
VIC,Balaclava,WATT,NAT
VIC,Ballaarat,McGRATH,ALP
VIC,Batman,BRENNAN,ALP
VIC,Bendigo,HURRY,NAT
VIC,Bourke,ANSTEY,ALP
VIC,Corangamite,GIBSON,CP
VIC,Corio,LISTER,NAT
VIC,Echuca,HILL,CP
VIC,Fawkner,MAXWELL,NAT
VIC,Flinders,BRUCE,NAT
VIC,Gippsland,PATERSON,CP
VIC,Henty,FRANCIS,NAT
VIC,Indi,COOK,CP
VIC,Kooyong,LATHAM,LP
VIC,Maribyrnong,FENTON,ALP
VIC,Melbourne,MALONEY,ALP
VIC,Melbourne Ports,MATHEWS,ALP
VIC,Wannon,McNEILL,ALP
VIC,Wimmera,STEWART,CP
VIC,Yarra,SCULLIN,ALP
QLD,Brisbane,CAMERON,NAT
QLD,Capricornia,FORDE,ALP
QLD,Darling Downs,GROOM,NAT
QLD,Herbert,BAMFORD,NAT
QLD,Kennedy,McDONALD,ALP
QLD,Lilley,MACKAY,NAT
QLD,Maranoa,HUNTER,CP
QLD,Moreton,FRANCIS,NAT
QLD,Oxley,BAYLEY,NAT
QLD,Wide Bay,CORSER,NAT
SA,Adelaide,YATES,ALP
SA,Angas,GABB,ALP
SA,Barker,CAMERON,LP
SA,Boothby,DUNCAN-HUGHES,LP
SA,Grey,LACEY,ALP
SA,Hindmarsh,MAKIN,ALP
SA,Wakefield,FOSTER,LP
WA,Forrest,PROWSE,CP
WA,Fremantle,WATSON,IND
WA,Kalgoorlie,GREEN,ALP
WA,Perth,MANN,NAT
WA,Swan,GREGORY,CP
TAS,Bass,JACKSON,NAT
TAS,Darwin,WHITSITT,CP
TAS,Denison,O'KEEFE,ALP
TAS,Franklin,SEABROOK,NAT
TAS,Wilmot,ATKINSON,CP
