State,Division,Winner,Party
NSW,Barton,LANE,UAP
NSW,Calare,THORBY,CP
NSW,Cook,RILEY,ALP
NSW,Cowper,PAGE,CP
NSW,Dalley,ROSEVEAR,ALPN
NSW,Darling,BLAKELEY,ALP
NSW,East Sydney,CLASBY,UAP
NSW,Eden-Monaro,PERKINS,UAP
NSW,Gwydir,ABBOTT,CP
NSW,Hume,COLLINS,CP
NSW,Hunter,JAMES,ALPN
NSW,Lang,DEIN,UAP
NSW,Macquarie,LAWSON,UAP
NSW,Martin,HOLMAN,UAP
NSW,New England,THOMPSON,CP
NSW,Newcastle,WATKINS,ALP
NSW,North Sydney,HUGHES,UAP
NSW,Parkes,MARR,UAP
NSW,Parramatta,STEWART,UAP
NSW,Reid,GANDER,ALPN
NSW,Richmond,GREEN,CP
NSW,Riverina,NOCK,CP
NSW,Robertson,GARDNER,UAP
NSW,South Sydney,JENNINGS,UAP
NSW,Warringah,PARKHILL,UAP
NSW,Wentworth,HARRISON,UAP
NSW,Werriwa,McNICOLL,CP
NSW,West Sydney,BEASLEY,ALPN
VIC,Balaclava,WHITE,UAP
VIC,Ballaarat,McGRATH,UAP
VIC,Batman,DENNIS,UAP
VIC,Bendigo,HARRISON,UAP
VIC,Bourke,ANSTEY,ALP
VIC,Corangamite,GIBSON,CP
VIC,Corio,CASEY,UAP
VIC,Echuca,HILL,CP
VIC,Fawkner,MAXWELL,UAP
VIC,Flinders,BRUCE,UAP
VIC,Gippsland,PATERSON,CP
VIC,Henty,GULLETT,UAP
VIC,Indi,HUTCHINSON,UAP
VIC,Kooyong,LATHAM,UAP
VIC,Maribyrnong,FENTON,UAP
VIC,Melbourne,MALONEY,ALP
VIC,Melbourne Ports,HOLLOWAY,ALP
VIC,Wannon,SCHOLFIELD,UAP
VIC,Wimmera,McCLELLAND,CP
VIC,Yarra,SCULLIN,ALP
QLD,Brisbane,LAWSON,ALP
QLD,Capricornia,FORDE,ALP
QLD,Darling Downs,GROOM,IND
QLD,Herbert,MARTENS,ALP
QLD,Kennedy,RIORDAN,ALP
QLD,Lilley,MACKAY,UAP
QLD,Maranoa,HUNTER,CP
QLD,Moreton,FRANCIS,UAP
QLD,Oxley,BAKER,ALP
QLD,Wide Bay,CORSER,CP
SA,Adelaide,STACEY,EC
SA,Angas,GABB,EC
SA,Barker,CAMERON,EC
SA,Boothby,PRICE,EC
SA,Grey,McBRIDE,EC
SA,Hindmarsh,,
SA,Wakefield,HAWKER,EC
WA,Forrest,PROWSE,CP
WA,Fremantle,WATSON,IND
WA,Kalgoorlie,GREEN,ALP
WA,Perth,NAIRN,UAP
WA,Swan,GREGORY,CP
TAS,Bass,GUY,UAP
TAS,Darwin,BELL,UAP
TAS,Denison,HUTCHIN,UAP
TAS,Franklin,BLACKLOW,UAP
TAS,Wilmot,LYONS,UAP
