State,Division,Winner,Party
NSW,Barton,LANE,UAP
NSW,Calare,THORBY,CP
NSW,Cook,GARDEN,ALPN
NSW,Cowper,PAGE,CP
NSW,Dalley,ROSEVEAR,ALPN
NSW,Darling,CLARK,ALPN
NSW,East Sydney,WARD,ALPN
NSW,Eden-Monaro,PERKINS,UAP
NSW,Gwydir,ABBOTT,CP
NSW,Hume,COLLINS,CP
NSW,Hunter,JAMES,ALPN
NSW,Lang,MULCAHY,ALPN
NSW,Macquarie,LAWSON,UAP
NSW,Martin,McCALL,UAP
NSW,New England,THOMPSON,CP
NSW,Newcastle,WATKINS,ALP
NSW,North Sydney,HUGHES,UAP
NSW,Parkes,MARR,UAP
NSW,Parramatta,STEWART,UAP
NSW,Reid,GANDER,ALPN
NSW,Richmond,GREEN,CP
NSW,Riverina,NOCK,CP
NSW,Robertson,GARDNER,UAP
NSW,Warringah,PARKHILL,UAP
NSW,Watson,JENNINGS,UAP
NSW,Wentworth,HARRISON,UAP
NSW,Werriwa,LAZZARINI,ALPN
NSW,West Sydney,BEASLEY,ALPN
VIC,Balaclava,WHITE,UAP
VIC,Ballaarat,FISKEN,UAP
VIC,Batman,BRENNAN,ALP
VIC,Bendigo,HARRISON,UAP
VIC,Bourke,BLACKBURN,ALP
VIC,Corangamite,STREET,UAP
VIC,Corio,CASEY,UAP
VIC,Echuca,McEWEN,CP
VIC,Fawkner,MAXWELL,UAP
VIC,Flinders,FAIRBAIRN,UAP
VIC,Gippsland,PATERSON,CP
VIC,Henty,GULLETT,UAP
VIC,Indi,HUTCHINSON,UAP
VIC,Kooyong,MENZIES,UAP
VIC,Maribyrnong,DRAKEFORD,ALP
VIC,Melbourne,MALONEY,ALP
VIC,Melbourne Ports,HOLLOWAY,ALP
VIC,Wannon,SCHOLFIELD,UAP
VIC,Wimmera,McCLELLAND,CP
VIC,Yarra,SCULLIN,ALP
QLD,Brisbane,LAWSON,ALP
QLD,Capricornia,FORDE,ALP
QLD,Darling Downs,GROOM,UAP
QLD,Griffith,BAKER,ALP
QLD,Herbert,MARTENS,ALP
QLD,Kennedy,RIORDAN,ALP
QLD,Lilley,CAMERON,UAP
QLD,Maranoa,HUNTER,CP
QLD,Moreton,FRANCIS,UAP
QLD,Wide Bay,CORSER,CP
SA,Adelaide,STACEY,UAP
SA,Barker,CAMERON,CP
SA,Boothby,PRICE,UAP
SA,Grey,McBRIDE,UAP
SA,Hindmarsh,MAKIN,ALP
SA,Wakefield,HAWKER,UAP
WA,Forrest,PROWSE,CP
WA,Fremantle,CURTIN,ALP
WA,Kalgoorlie,GREEN,ALP
WA,Perth,NAIRN,UAP
WA,Swan,GREGORY,CP
TAS,Bass,BARNARD,ALP
TAS,Darwin,BELL,UAP
TAS,Denison,MAHONEY,ALP
TAS,Franklin,FROST,ALP
TAS,Wilmot,LYONS,UAP
