State,Division,Winner,Party
NSW,Banks,MELHAM,ALP
NSW,Barton,McCLELLAND,ALP
NSW,Bennelong,McKEW,ALP
NSW,Berowra,RUDDOCK,LP
NSW,Blaxland,CLARE,ALP
NSW,Bradfield,NELSON,LP
NSW,Calare,COBB,NAT
NSW,Charlton,COMBET,ALP
NSW,Chifley,PRICE,ALP
NSW,Cook,MORRISON,LP
NSW,Cowper,HARTSUYKER,NAT
NSW,Cunningham,BIRD,ALP
NSW,Dobell,THOMSON,ALP
NSW,Eden-Monaro,KELLY,ALP
NSW,Farrer,LEY,LP
NSW,Fowler,IRWIN,ALP
NSW,Gilmore,GASH,LP
NSW,Grayndler,ALBANESE,ALP
NSW,Greenway,MARKUS,LP
NSW,Hughes,VALE,LP
NSW,Hume,SCHULTZ,LP
NSW,Hunter,FITZGIBBON,ALP
NSW,Kingsford Smith,GARRETT,ALP
NSW,Lindsay,BRADBURY,ALP
NSW,Lowe,MURPHY,ALP
NSW,Lyne,VAILE,NAT
NSW,Macarthur,FARMER,LP
NSW,Mackellar,BISHOP,LP
NSW,Macquarie,DEBUS,ALP
NSW,Mitchell,HAWKE,LP
NSW,New England,WINDSOR,IND
NSW,Newcastle,GRIERSON,ALP
NSW,North Sydney,HOCKEY,LP
NSW,Page,SAFFIN,ALP
NSW,Parkes,COULTON,NAT
NSW,Parramatta,OWENS,ALP
NSW,Paterson,BALDWIN,LP
NSW,Prospect,BOWEN,ALP
NSW,Reid,FERGUSON,ALP
NSW,Richmond,ELLIOT,ALP
NSW,Riverina,HULL,NAT
NSW,Robertson,NEAL,ALP
NSW,Shortland,HALL,ALP
NSW,Sydney,PLIBERSEK,ALP
NSW,Throsby,GEORGE,ALP
NSW,Warringah,ABBOTT,LP
NSW,Watson,BURKE,ALP
NSW,Wentworth,TURNBULL,LP
NSW,Werriwa,HAYES,ALP
VIC,Aston,PEARCE,LP
VIC,Ballarat,KING,ALP
VIC,Batman,FERGUSON,ALP
VIC,Bendigo,GIBBONS,ALP
VIC,Bruce,GRIFFIN,ALP
VIC,Calwell,VAMVAKINOU,ALP
VIC,Casey,SMITH,LP
VIC,Chisholm,BURKE,ALP
VIC,Corangamite,CHEESEMAN,ALP
VIC,Corio,MARLES,ALP
VIC,Deakin,SYMON,ALP
VIC,Dunkley,BILLSON,LP
VIC,Flinders,HUNT,LP
VIC,Gellibrand,ROXON,ALP
VIC,Gippsland,McGAURAN,NAT
VIC,Goldstein,ROBB,LP
VIC,Gorton,O'CONNOR,ALP
VIC,Higgins,COSTELLO,LP
VIC,Holt,BYRNE,ALP
VIC,Hotham,CREAN,ALP
VIC,Indi,MIRABELLA,LP
VIC,Isaacs,DREYFUS,ALP
VIC,Jagajaga,MACKLIN,ALP
VIC,Kooyong,GEORGIOU,LP
VIC,La Trobe,WOOD,LP
VIC,Lalor,GILLARD,ALP
VIC,Mcewen,BAILEY,LP
VIC,Mcmillan,BROADBENT,LP
VIC,Mallee,FORREST,NAT
VIC,Maribyrnong,SHORTEN,ALP
VIC,Melbourne,TANNER,ALP
VIC,Melbourne Ports,DANBY,ALP
VIC,Menzies,ANDREWS,LP
VIC,Murray,STONE,LP
VIC,Scullin,JENKINS,ALP
VIC,Wannon,HAWKER,LP
VIC,Wills,THOMSON,ALP
QLD,Blair,NEUMANN,ALP
QLD,Bonner,REA,ALP
QLD,Bowman,LAMING,LP
QLD,Brisbane,BEVIS,ALP
QLD,Capricornia,LIVERMORE,ALP
QLD,Dawson,BIDGOOD,ALP
QLD,Dickson,DUTTON,LP
QLD,Fadden,ROBERT,LP
QLD,Fairfax,SOMLYAY,LP
QLD,Fisher,SLIPPER,LP
QLD,Flynn,TREVOR,ALP
QLD,Forde,RAGUSE,ALP
QLD,Griffith,RUDD,ALP
QLD,Groom,MACFARLANE,LP
QLD,Herbert,LINDSAY,LP
QLD,Hinkler,NEVILLE,NAT
QLD,Kennedy,KATTER,IND
QLD,Leichhardt,TURNOUR,ALP
QLD,Lilley,SWAN,ALP
QLD,Longman,SULLIVAN,ALP
QLD,Mcpherson,MAY,LP
QLD,Maranoa,SCOTT,NAT
QLD,Moncrieff,CIOBO,LP
QLD,Moreton,PERRETT,ALP
QLD,Oxley,RIPOLL,ALP
QLD,Petrie,D'ATH,ALP
