State,Division,Winner,Party
NSW,Banks,COLEMAN,LP
NSW,Barton,BURNEY,ALP
NSW,Bennelong,LAXALE,ALP
NSW,Berowra,LEESER,LP
NSW,Blaxland,CLARE,ALP
NSW,Bradfield,FLETCHER,LP
NSW,Calare,GEE,NAT
NSW,Chifley,HUSIC,ALP
NSW,Cook,MORRISON,LP
NSW,Cowper,CONAGHAN,NAT
NSW,Cunningham,BYRNES,ALP
NSW,Dobell,McBRIDE,ALP
NSW,Eden-Monaro,McBAIN,ALP
NSW,Farrer,LEY,LP
NSW,Fowler,LE,IND
NSW,Gilmore,PHILLIPS,ALP
NSW,Grayndler,ALBANESE,ALP
NSW,Greenway,ROWLAND,ALP
NSW,Hughes,WARE,LP
NSW,Hume,TAYLOR,LP
NSW,Hunter,REPACHOLI,ALP
NSW,Kingsford Smith,THISTLETHWAITE,ALP
NSW,Lindsay,McINTOSH,LP
NSW,Lyne,GILLESPIE,NAT
NSW,Macarthur,FREELANDER,ALP
NSW,Mackellar,SCAMPS,IND
NSW,Mcmahon,BOWEN,ALP
NSW,Macquarie,TEMPLEMAN,ALP
NSW,Mitchell,HAWKE,LP
NSW,New England,JOYCE,NAT
NSW,Newcastle,CLAYDON,ALP
NSW,North Sydney,TINK,IND
NSW,Page,HOGAN,NAT
NSW,Parkes,COULTON,NAT
NSW,Parramatta,CHARLTON,ALP
NSW,Paterson,SWANSON,ALP
NSW,Reid,SITOU,ALP
NSW,Richmond,ELLIOT,ALP
NSW,Riverina,McCORMACK,NAT
NSW,Robertson,REID,ALP
NSW,Shortland,CONROY,ALP
NSW,Sydney,PLIBERSEK,ALP
NSW,Warringah,STEGGALL,IND
NSW,Watson,BURKE,ALP
NSW,Wentworth,SPENDER,IND
NSW,Werriwa,STANLEY,ALP
NSW,Whitlam,JONES,ALP
VIC,Aston,TUDGE,LP
VIC,Ballarat,KING,ALP
VIC,Bendigo,CHESTERS,ALP
VIC,Bruce,HILL,ALP
VIC,Calwell,VAMVAKINOU,ALP
VIC,Casey,VIOLI,LP
VIC,Chisholm,GARLAND,ALP
VIC,Cooper,KEARNEY,ALP
VIC,Corangamite,COKER,ALP
VIC,Corio,MARLES,ALP
VIC,Deakin,SUKKAR,LP
VIC,Dunkley,MURPHY,ALP
VIC,Flinders,McKENZIE,LP
VIC,Fraser,MULINO,ALP
VIC,Gellibrand,WATTS,ALP
VIC,Gippsland,CHESTER,NAT
