State,Division,Winner,Party
NSW,Banks,COLEMAN,LP
NSW,Barton,BURNEY,ALP
NSW,Bennelong,ALEXANDER,LP
NSW,Berowra,LEESER,LP
NSW,Blaxland,CLARE,ALP
NSW,Bradfield,FLETCHER,LP
NSW,Calare,GEE,NAT
NSW,Chifley,HUSIC,ALP
NSW,Cook,MORRISON,LP
NSW,Cowper,HARTSUYKER,NAT
NSW,Cunningham,BIRD,ALP
NSW,Dobell,McBRIDE,ALP
NSW,Eden-Monaro,KELLY,ALP
NSW,Farrer,LEY,LP
NSW,Fowler,HAYES,ALP
NSW,Gilmore,SUDMALIS,LP
NSW,Grayndler,ALBANESE,ALP
NSW,Greenway,ROWLAND,ALP
NSW,Hughes,KELLY,LP
NSW,Hume,TAYLOR,LP
NSW,Hunter,FITZGIBBON,ALP
NSW,Kingsford Smith,THISTLETHWAITE,ALP
NSW,Lindsay,HUSAR,ALP
NSW,Lyne,GILLESPIE,NAT
NSW,Macarthur,FREELANDER,ALP
NSW,Mackellar,FALINSKI,LP
NSW,Mcmahon,BOWEN,ALP
NSW,Macquarie,TEMPLEMAN,ALP
NSW,Mitchell,HAWKE,LP
NSW,New England,JOYCE,NAT
NSW,Newcastle,CLAYDON,ALP
NSW,North Sydney,ZIMMERMAN,LP
NSW,Page,HOGAN,NAT
NSW,Parkes,COULTON,NAT
NSW,Parramatta,OWENS,ALP
NSW,Paterson,SWANSON,ALP
NSW,Reid,LAUNDY,LP
NSW,Richmond,ELLIOT,ALP
NSW,Riverina,McCORMACK,NAT
NSW,Robertson,WICKS,LP
NSW,Shortland,CONROY,ALP
NSW,Sydney,PLIBERSEK,ALP
NSW,Warringah,ABBOTT,LP
NSW,Watson,BURKE,ALP
NSW,Wentworth,TURNBULL,LP
NSW,Werriwa,STANLEY,ALP
NSW,Whitlam,JONES,ALP
VIC,Aston,TUDGE,LP
VIC,Ballarat,KING,ALP
VIC,Batman,FEENEY,ALP
VIC,Bendigo,CHESTERS,ALP
VIC,Bruce,HILL,ALP
VIC,Calwell,VAMVAKINOU,ALP
VIC,Casey,SMITH,LP
VIC,Chisholm,BANKS,LP
VIC,Corangamite,HENDERSON,LP
VIC,Corio,MARLES,ALP
VIC,Deakin,SUKKAR,LP
VIC,Dunkley,CREWTHER,LP
VIC,Flinders,HUNT,LP
VIC,Gellibrand,WATTS,ALP
VIC,Gippsland,CHESTER,NAT
VIC,Goldstein,WILSON,LP
