State,Division,Winner,Party
NSW,Banks,MELMAN,ALP
NSW,Barton,PUNCH,ALP
NSW,Bennelong,HOWARD,LP
NSW,Berowra,RUDDOCK,LP
NSW,Blaxland,KEATING,ALP
NSW,Bradfield,CONNOLLY,LP
NSW,Calare,SIMMONS,ALP
NSW,Charlton,BROWN,ALP
NSW,Chifley,PRICE,ALP
NSW,Cook,DOBIE,LP
NSW,Cowper,NEHL,NPA
NSW,Cunningham,MARTIN,ALP
NSW,Dobell,LEE,ALP
NSW,Eden-Monaro,SNOW,ALP
NSW,Farrer,FISCHER,NPA
NSW,Fowler,GRACE,ALP
NSW,Gilmore,KNOTT,ALP
NSW,Grayndler,McHUGH,ALP
NSW,Greenway,GORMAN,ALP
NSW,Gwydir,ANDERSON,NPA
NSW,Hughes,TICKNER,ALP
NSW,Hume,SHARP,NPA
NSW,Hunter,FITZGIBBON,ALP
NSW,Kingsford-Smith,BRERETON,ALP
NSW,Lindsay,FREE,ALP
NSW,Lowe,EASSON,ALP
NSW,Lyne,VAILE,NPA
NSW,Macarthur,HAVILAND,ALP
NSW,Mackellar,CARLTON,LP
NSW,Macquarie,DEAHM,ALP
NSW,Mitchell,CADMAN,LP
NSW,New England,SINCLAIR,NPA
NSW,Newcastle,MORRIS,ALP
NSW,North Sydney,MACK,IND
NSW,Page,WOODS,ALP
NSW,Parkes,COBB,NPA
NSW,Parramatta,ELLIOTT,ALP
NSW,Paterson,HORNE,ALP
NSW,Prospect,CROSIO,ALP
NSW,Reid,FERGUSON,ALP
NSW,Richmond,NEWELL,ALP
NSW,Riverina,HICKS,NPA
NSW,Robertson,WALKER,ALP
NSW,Shortland,MORRIS,ALP
NSW,Sydney,BALDWIN,ALP
NSW,Throsby,HOLLIS,ALP
NSW,Warringah,MacKELLAR,LP
NSW,Watson,McLEAY,ALP
NSW,Wentworth,HEWSON,LP
NSW,Werriwa,KERIN,ALP
VIC,Aston,NUGENT,LP
VIC,Ballarat,RONALDSON,LP
VIC,Batman,HOWE,ALP
VIC,Bendigo,REID,LP
VIC,Bruce,BEALE,LP
VIC,Burke,O'KEEFE,ALP
VIC,Calwell,THEOPHANOUS,ALP
VIC,Casey,HALVERSON,LP
VIC,Chisholm,WOOLDRIDGE,LP
VIC,Corangamite,McARTHUR,LP
VIC,Corinella,GRIFFIN,ALP
VIC,Corio,O'CONNOR,ALP
VIC,Deakin,ALDRED,LP
VIC,Dunkley,CHYNOWETH,ALP
VIC,Flinders,REITH,LP
VIC,Gellibrand,WILLIS,ALP
VIC,Gippsland,MCGAURAN,NPA
VIC,Goldstein,KEMP,LP
VIC,Higgins,COSTELLO,LP
VIC,Holt,DUFFY,ALP
VIC,Hotham,CREAN,ALP
VIC,Indi,LIEBERMAN,LP
VIC,Isaacs,ATKINSON,LP
VIC,Jagajaga,STAPLES,ALP
VIC,Kooyong,PEACOCK,LP
VIC,La Trobe,CHARLES,LP
VIC,Lalor,JONES,ALP
VIC,Mcewen,CLEELAND,ALP
VIC,Mcmillan,CUNNINGHAM,ALP
VIC,Mallee,FORREST,NPA
VIC,Maribyrnong,GRIFFITHS,ALP
VIC,Melbourne,TANNER,ALP
VIC,Melbourne Ports,HOLDING,ALP
VIC,Menzies,ANDREWS,LP
VIC,Murray,LLOYD,NPA
VIC,Scullin,JENKINS,ALP
VIC,Wannon,HAWKER,LP
VIC,Wills,CLEARY,IND
QLD,Bowman,SCIACCA,ALP
QLD,Brisbane,BEVIS,ALP
QLD,Capricornia,HENZELL,ALP
QLD,Dawson,BRAITHWAITE,NPA
QLD,Dickson,LAVARCH,ALP
QLD,Fadden,JULL,LP
QLD,Fairfax,SOMLYAY,LP
QLD,Fisher,SLIPPER,LP
QLD,Forde,CRAWFORD,ALP
QLD,Griffith,HUMPHREYS,ALP
QLD,Groom,TAYLOR,LP
QLD,Herbert,LINDSAY,ALP
QLD,Hinkler,NEVILLE,NPA
QLD,Kennedy,KATTER,NPA
QLD,Leichhardt,DODD,ALP
QLD,Lilley,SWAN,ALP
QLD,Mcpherson,BRADFORD,LP
QLD,Maranoa,SCOTT,NPA
QLD,Moncrieff,SULLIVAN,LP
QLD,Moreton,GIBSON,ALP
QLD,Oxley,SCOTT,ALP
QLD,Petrie,JOHNS,ALP
QLD,Rankin,BEDDALL,ALP
QLD,Ryan,MOORE,LP
QLD,Wide Bay,TRUSS,NPA
SA,Adelaide,WORTH,LP
SA,Barker,McLACHLAN,LP
SA,Bonython,BLEWETT,ALP
SA,Boothby,HALL,LP
SA,Grey,WAKELIN,LP
SA,Hindmarsh,GALLUS,LP
SA,Kingston,BILNEY,ALP
SA,Makin,DUNCAN,ALP
SA,Mayo,DOWNER,LP
SA,Port Adelaide,SAWFORD,ALP
SA,Sturt,PYNE,LP
SA,Wakefield,ANDREW,LP
WA,Brand,FATIN,ALP
WA,Canning,GEAR,ALP
WA,Cowan,EVANS,LP
WA,Curtin,ROCHER,LP
WA,Forrest,PROSSER,LP
WA,Fremantle,DAWKINS,ALP
WA,Kalgoorlie,CAMPBELL,ALP
WA,Moore,FILING,LP
WA,O'connor,TUCKEY,LP
WA,Pearce,MOYLAN,LP
WA,Perth,SMITH,ALP
WA,Stirling,CAMERON,LP
WA,Swan,BEAZLEY,ALP
WA,Tangney,WILLIAMS,LP
TAS,Bass,SMITH,ALP
TAS,Braddon,MILES,LP
TAS,Denison,KERR,ALP
TAS,Franklin,QUICK,ALP
TAS,Lyons,ADAMS,ALP
NT,Northern Territory,SNOWDON,ALP
ACT,Canberra,KELLY,ALP
ACT,Fraser,LANGMORE,ALP
