State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"MELHAM, Daryl",ALP,31878,43.6
NSW,Banks,"SPARKES, David",LP,28903,39.5
NSW,Banks,"KAYES, John",IND,970,1.3
NSW,Banks,"WEST, Gregg",AAFI,3797,5.2
NSW,Banks,"BAILEY, Alison",AD,5566,7.6
NSW,Banks,"THOMPSON, Don",IND,2076,2.8
NSW,Barton,"MCLEAN, Chris",CTA,2381,3.2
NSW,Barton,"MCCLELLAND, Robert",ALP,35943,48.4
NSW,Barton,"SANTORINIOS, Arthur",LP,30582,41.2
NSW,Barton,"NASSER, Safwan",IND,1359,1.8
NSW,Barton,"CHUNG, Craig",AD,4026,5.4
NSW,Bennelong,"MAHON, Wendy",ALP,24248,32.2
NSW,Bennelong,"PARKER, Jamie",GRN,1861,2.5
NSW,Bennelong,"KEMP, Paul",AAFI,1968,2.6
NSW,Bennelong,"DROULERS, Julien",IND,187,0.3
NSW,Bennelong,"BERNARD, James",IND,111,0.2
NSW,Bennelong,"SHAW, Robert",IND,1305,1.7
NSW,Bennelong,"REDDY, Suzanne",AD,4700,6.2
NSW,Bennelong,"DAWSON, John",IND,208,0.3
NSW,Bennelong,"HOWARD, Hon John",LP,40589,53.8
NSW,Bennelong,"CARR, Tim",IND,227,0.3
NSW,Berowra,"RUDDOCK, Philip",LP,45310,58.6
NSW,Berowra,"CONNOLLY, Christopher",GRN,2453,3.2
NSW,Berowra,"DISNEY, Simon",AD,5751,7.4
NSW,Berowra,"MCCARROLL, Nola",ALP,16666,21.6
NSW,Berowra,"WYK, Steve van",AAFI,1964,2.5
NSW,Berowra,"GALLAGHER, Mick",IND,5034,6.5
NSW,Berowra,"SCALLY, Bill",IND,143,0.2
NSW,Blaxland,"KOROVIN, Nick",LP,21916,31.1
NSW,Blaxland,"LAWRENCE, Eric",IND,526,0.7
NSW,Blaxland,"BEAMS, Nick",IND,244,0.3
NSW,Blaxland,"LAVIS, Michael",AAFI,1944,2.7
NSW,Blaxland,"AUSSIE-STONE, Marc",IND,267,0.4
NSW,Blaxland,"SAYEGH, Peter",IND,695,1
NSW,Blaxland,"SMITH, Peter",IND,176,0.2
NSW,Blaxland,"RAHME, Melodie",CTA,936,1.3
NSW,Blaxland,"MEIKLE, Jeffrey",AD,2442,3.5
NSW,Blaxland,"KEATING, Hon Paul",ALP,41444,58.7
NSW,Bradfield,"WATKINS, Len",AAFI,2571,3.5
