State,Division,Winner,Party
NSW,Banks,COLEMAN,LP
NSW,Barton,BURNEY,ALP
NSW,Bennelong,ALEXANDER,LP
NSW,Berowra,LEESER,LP
NSW,Blaxland,CLARE,ALP
NSW,Bradfield,FLETCHER,LP
NSW,Calare,GEE,NAT
NSW,Chifley,HUSIC,ALP
NSW,Cook,MORRISON,LP
NSW,Cowper,CONAGHAN,NAT
NSW,Cunningham,BIRD,ALP
NSW,Dobell,McBRIDE,ALP
NSW,Eden-Monaro,KELLY,ALP
NSW,Farrer,LEY,LP
NSW,Fowler,HAYES,ALP
NSW,Gilmore,PHILLIPS,ALP
NSW,Grayndler,ALBANESE,ALP
NSW,Greenway,ROWLAND,ALP
NSW,Hughes,KELLY,LP
NSW,Hume,TAYLOR,LP
NSW,Hunter,FITZGIBBON,ALP
NSW,Kingsford Smith,THISTLETHWAITE,ALP
NSW,Lindsay,McINTOSH,LP
NSW,Lyne,GILLESPIE,NAT
NSW,Macarthur,FREELANDER,ALP
NSW,Mackellar,FALINSKI,LP
NSW,Mcmahon,BOWEN,ALP
NSW,Macquarie,TEMPLEMAN,ALP
NSW,Mitchell,HAWKE,LP
NSW,New England,JOYCE,NAT
NSW,Newcastle,CLAYDON,ALP
NSW,North Sydney,ZIMMERMAN,LP
NSW,Page,HOGAN,NAT
NSW,Parkes,COULTON,NAT
NSW,Parramatta,OWENS,ALP
NSW,Paterson,SWANSON,ALP
NSW,Reid,MARTIN,LP
NSW,Richmond,ELLIOT,ALP
NSW,Riverina,McCORMACK,NAT
NSW,Robertson,WICKS,LP
NSW,Shortland,CONROY,ALP
NSW,Sydney,PLIBERSEK,ALP
NSW,Warringah,STEGGALL,IND
NSW,Watson,BURKE,ALP
NSW,Wentworth,SHARMA,LP
NSW,Werriwa,STANLEY,ALP
NSW,Whitlam,JONES,ALP
VIC,Aston,TUDGE,LP
VIC,Ballarat,KING,ALP
VIC,Bendigo,CHESTERS,ALP
VIC,Bruce,HILL,ALP
VIC,Calwell,VAMVAKINOU,ALP
VIC,Casey,SMITH,LP
VIC,Chisholm,LIU,LP
VIC,Cooper,KEARNEY,ALP
VIC,Corangamite,COKER,ALP
VIC,Corio,MARLES,ALP
VIC,Deakin,SUKKAR,LP
VIC,Dunkley,MURPHY,ALP
VIC,Flinders,HUNT,LP
VIC,Fraser,MULINO,ALP
VIC,Gellibrand,WATTS,ALP
VIC,Gippsland,CHESTER,NAT
