State,Division,Winner,Party
NSW,Barrier,CONSIDINE,ALP
NSW,Calare,LAVELLE,ALP
NSW,Cook,CATTS,ALP
NSW,Cowper,PAGE,
NSW,Dalley,MAHONY,ALP
NSW,Darling,BLAKELEY,ALP
NSW,East Sydney,WEST,ALP
NSW,Eden-Monaro,CHAPMAN,NAT
NSW,Gwydir,CUNNINGHAM,ALP
NSW,Hume,MOLONEY,ALP
NSW,Hunter,CHARLTON,ALP
NSW,Illawarra,LAMOND,NAT
NSW,Lang,JOHNSON,NAT
NSW,Macquarie,NICHOLLS,ALP
NSW,Nepean,BOWDEN,NAT
NSW,New England,HAY,
NSW,Newcastle,WATKINS,ALP
NSW,North Sydney,RYRIE,NAT
NSW,Parkes,MARR,NAT
NSW,Parramatta,COOK,NAT
NSW,Richmond,MASSY-GREENE,NAT
NSW,Riverina,CHANTER,
NSW,Robertson,FLEMING,
NSW,South Sydney,RILEY,ALP
NSW,Wentworth,MARKS,NAT
NSW,Werriwa,LAZZARINI,ALP
NSW,West Sydney,RYAN,ALP
VIC,Balaclava,WATT,NAT
VIC,Ballaarat,KERBY,NAT
VIC,Batman,BRENNAN,ALP
VIC,Bendigo,HUGHES,NAT
VIC,Bourke,ANSTEY,ALP
VIC,Corangamite,GIBSON,VFU
VIC,Corio,LISTER,NAT
VIC,Echuca,HILL,VFU
VIC,Fawkner,MAXWELL,NAT
VIC,Flinders,BRUCE,NAT
VIC,Gippsland,WISE,NAT
VIC,Grampians,JOWETT,VFU
VIC,Henty,FRANCIS,IND
VIC,Indi,COOK,VFU
VIC,Kooyong,BEST,NAT
VIC,Maribyrnong,FENTON,ALP
VIC,Melbourne,MALONEY,ALP
VIC,Melbourne Ports,MATHEWS,ALP
VIC,Wannon,RODGERS,NAT
VIC,Wimmera,STEWART,VFU
VIC,Yarra,TUDOR,ALP
QLD,Brisbane,CAMERON,NAT
QLD,Capricornia,HIGGS,ALP
QLD,Darling Downs,GROOM,NAT
QLD,Herbert,BAMFORD,NAT
QLD,Kennedy,McDONALD,ALP
QLD,Lilley,MACKAY,NAT
QLD,Maranoa,PAGE,ALP
QLD,Moreton,WIENHOLT,
QLD,Oxley,BAYLEY,NAT
QLD,Wide Bay,CORSER,NAT
SA,Adelaide,BLUNDELL,NAT
SA,Angas,GABB,ALP
SA,Barker,LIVINGSTON,NAT
SA,Boothby,STORY,NAT
SA,Grey,POYNTON,NAT
SA,Hindmarsh,MAKIN,ALP
SA,Wakefield,FOSTER,NAT
WA,Dampier,GREGORY,
WA,Fremantle,BURCHELL,NAT
WA,Kalgoorlie,MAHON,ALP
WA,Perth,FOWLER,NAT
WA,Swan,PROWSE,FSA
TAS,Bass,JACKSON,NAT
TAS,Darwin,BELL,NAT
TAS,Denison,SMITH,NAT
TAS,Franklin,McWILLIAMS,NAT
TAS,Wilmot,ATKINSON,NAT
