State,Division,Winner,Party
NSW,Banks,COSTA,ALP
NSW,Barton,ARTHUR,LP
NSW,Bennelong,CRAMER,LP
NSW,Blaxland,HARRISON,ALP
NSW,Bradfield,TURNER,LP
NSW,Calare,ENGLAND,CP
NSW,Cowper,ROBINSON,CP
NSW,Cunningham,CONNOR,ALP
NSW,Dalley,O'CONNOR,ALP
NSW,Darling,CLARK,ALP
NSW,East Sydney,DEVINE,ALP
NSW,Eden-Monaro,MUNRO,LP
NSW,Evans,MACKAY,LP
NSW,Farrer,FAIRBAIRN,LP
NSW,Grayndler,DALY,ALP
NSW,Gwydir,ALLAN,CP
NSW,Hughes,DOBIE,LP
NSW,Hume,PETTITT,CP
NSW,Hunter,JAMES,ALP
NSW,Kingsford-Smith,CURTIN,ALP
NSW,Lang,STEWART,ALP
NSW,Lawson,FAILES,CP
NSW,Lowe,McMAHON,LP
NSW,Lyne,LUCOCK,CP
NSW,Macarthur,BATE,LP
NSW,Mackellar,WENTWORTH,LP
NSW,Macquarie,LUCHETTI,ALP
NSW,Mitchell,IRWIN,LP
NSW,New England,SINCLAIR,CP
NSW,Newcastle,JONES,ALP
NSW,North Sydney,GRAHAM,LP
NSW,Parkes,HUGHES,LP
NSW,Parramatta,BOWEN,LP
NSW,Paterson,FAIRHALL,LP
NSW,Phillip,ASTON,LP
NSW,Reid,UREN,ALP
NSW,Richmond,ANTHONY,CP
NSW,Riverina,ARMSTRONG,CP
NSW,Robertson,BRIDGES-MAXWELL,LP
NSW,Shortland,GRIFFITHS,ALP
NSW,St George,BOSMAN,LP
NSW,Warringah,JOHN,LP
NSW,Watson,COPE,ALP
NSW,Wentworth,BURY,LP
NSW,Werriwa,WHITLAM,ALP
NSW,West Sydney,MINOGUE,ALP
VIC,Balaclava,WHITTORN,LP
VIC,Ballaarat,ERWIN,LP
VIC,Batman,BENSON,IND
VIC,Bendigo,BEATON,ALP
VIC,Bruce,SNEDDEN,LP
VIC,Chisholm,HUGHES,LP
VIC,Corangamite,STREET,LP
VIC,Corio,OPPERMAN,LP
VIC,Darebin,COURTNAY,ALP
VIC,Deakin,JARMAN,LP
VIC,Fawkner,HOWSON,LP
VIC,Flinders,LYNCH,LP
VIC,Gellibrand,McIVOR,ALP
VIC,Gippsland,NIXON,CP
VIC,Henty,FOX,LP
VIC,Higgins,HOLT,LP
VIC,Higinbotham,CHIPP,LP
VIC,Indi,HOLTEN,CP
VIC,Isaacs,HAWORTH,LP
VIC,Kooyong,PEACOCK,LP
VIC,La Trobe,JESS,LP
VIC,Lalor,LEE,LP
VIC,Mcmillan,BUCHANAN,LP
VIC,Mallee,TURNBULL,CP
VIC,Maribyrnong,STOKES,LP
VIC,Melbourne,CALWELL,ALP
VIC,Melbourne Ports,CREAN,ALP
VIC,Murray,McEWEN,CP
VIC,Scullin,PETERS,ALP
VIC,Wannon,FRASER,LP
VIC,Wills,BRYANT,ALP
VIC,Wimmera,KING,CP
VIC,Yarra,CAIRNS,ALP
QLD,Bowman,GIBBS,LP
QLD,Brisbane,CROSS,ALP
QLD,Capricornia,GRAY,ALP
QLD,Darling Downs,SWARTZ,LP
QLD,Dawson,PATTERSON,ALP
QLD,Fisher,ADERMANN,CP
QLD,Griffith,CAMERON,LP
QLD,Herbert,BONNETT,LP
QLD,Kennedy,KATTER,CP
QLD,Leichhardt,FULTON,ALP
QLD,Lilley,CAIRNS,LP
QLD,Mcpherson,BARNES,CP
QLD,Maranoa,CORBETT,CP
QLD,Moreton,KILLEN,LP
QLD,Oxley,HAYDEN,ALP
QLD,Petrie,HULME,LP
QLD,Ryan,DRURY,LP
QLD,Wide Bay,HANSEN,ALP
SA,Adelaide,JONES,LP
SA,Angas,GILES,LP
SA,Barker,FORBES,LP
SA,Bonython,NICHOLLS,ALP
SA,Boothby,McLEAY,LP
SA,Grey,JESSOP,LP
SA,Hindmarsh,CAMERON,ALP
SA,Kingston,BROWNBILL,LP
SA,Port Adelaide,BIRRELL,ALP
SA,Sturt,WILSON,LP
SA,Wakefield,KELLY,LP
WA,Canning,HALLETT,CP
WA,Curtin,HASLUCK,LP
WA,Forrest,FREETH,LP
WA,Fremantle,BEAZLEY,ALP
WA,Kalgoorlie,COLLARD,ALP
WA,Moore,MAISEY,CP
WA,Perth,CHANEY,LP
WA,Stirling,WEBB,ALP
WA,Swan,CLEAVER,LP
TAS,Bass,BARNARD,ALP
TAS,Braddon,DAVIES,ALP
TAS,Denison,GIBSON,LP
TAS,Franklin,PEARSALL,LP
TAS,Wilmot,DUTHIE,ALP
NT,Northern Territory,CALDER,CP
ACT,Australian Capital Territory,FRASER,ALP
