State,Division,Winner,Party
NSW,Barton,TULLY,ALP
NSW,Calare,HOWSE,NAT
NSW,Cook,RILEY,ALP
NSW,Cowper,PAGE,CP
NSW,Dalley,BLAKELEY,
NSW,East Sydney,WEST,ALP
NSW,Eden-Monaro,PERKINS,NAT
NSW,Gwydir,ABBOTT,CP
NSW,Hume,MOLONEY,ALP
NSW,Hunter,JAMES,ALP
NSW,Lang,LONG,ALP
NSW,Macquarie,CHIFLEY,ALP
NSW,Martin,PRATTEN,NAT
NSW,New England,THOMPSON,CP
NSW,Newcastle,,
NSW,North Sydney,HUGHES,NAT
NSW,Parkes,MARR,NAT
NSW,Parramatta,BOWDEN,NAT
NSW,Reid,COLEMAN,ALP
NSW,Richmond,GREEN,CP
NSW,Riverina,KILLEN,CP
NSW,Robertson,GARDNER,NAT
NSW,South Sydney,RILEY,ALP
NSW,Warringah,PARKHILL,NAT
NSW,Wentworth,MARKS,NAT
NSW,Werriwa,LAZZARINI,ALP
NSW,West Sydney,BEASLEY,ALP
VIC,Balaclava,WATT,NAT
VIC,Ballaarat,McGRATH,ALP
VIC,Batman,BRENNAN,ALP
VIC,Bendigo,HURRY,NAT
VIC,Bourke,ANSTEY,ALP
VIC,Corangamite,GIBSON,CP
VIC,Corio,LISTER,NAT
VIC,Echuca,HILL,CP
VIC,Fawkner,MAXWELL,NAT
VIC,Flinders,BRUCE,NAT
VIC,Gippsland,PATERSON,CP
VIC,Henty,GULLETT,NAT
VIC,Indi,JONES,ALP
VIC,Kooyong,LATHAM,NAT
VIC,Maribyrnong,FENTON,NAT
VIC,Melbourne,MALONEY,ALP
VIC,Melbourne Ports,MATHEWS,ALP
VIC,Wannon,RODGERS,NAT
VIC,Wimmera,STEWART,IND
VIC,Yarra,SCULLIN,ALP
QLD,Brisbane,CAMERON,NAT
QLD,Capricornia,FORDE,ALP
QLD,Darling Downs,GROOM,NAT
QLD,Herbert,MARTENS,ALP
QLD,Kennedy,FRANCIS,NAT
QLD,Lilley,MACKAY,NAT
QLD,Maranoa,HUNTER,CP
QLD,Moreton,FRANCIS,NAT
QLD,Oxley,BAYLEY,NAT
QLD,Wide Bay,CORSER,CP
SA,Adelaide,YATES,ALP
SA,Angas,PARSONS,NAT
SA,Barker,CAMERON,NAT
SA,Boothby,PRICE,ALP
SA,Grey,MAKIN,
SA,Wakefield,COLLINS,CP
WA,Forrest,PROWSE,CP
WA,Fremantle,CURTIN,ALP
WA,Kalgoorlie,GREEN,ALP
WA,Perth,MANN,NAT
WA,Swan,GREGORY,CP
NSW,Tasmania,,
NSW,Bass,JACKSON,NAT
NSW,Darwin,BELL,NAT
NSW,Denison,CULLEY,ALP
NSW,Franklin,McWILLIAMS,IND
NSW,Wilmot,ATKINSON,NAT
