State,Division,Winner,Party
NSW,Banks,MARTIN,ALP
NSW,Barton,REYNOLDS,ALP
NSW,Bennelong,CRAMER,LP
NSW,Berowra,HUGHES,LP
NSW,Blaxland,KEATING,ALP
NSW,Bradfield,TURNER,LP
NSW,Calare,ENGLAND,CP
NSW,Chifley,ARMITAGE,ALP
NSW,Cook,DOBIE,LP
NSW,Cowper,ROBINSON,CP
NSW,Cunningham,CONNOR,ALP
NSW,Darling,FITZPATRICK,ALP
NSW,Eden-Monaro,FRASER,ALP
NSW,Evans,MACKAY,LP
NSW,Farrer,FAIRBAIRN,LP
NSW,Grayndler,DALY,ALP
NSW,Gwydir,HUNT,CP
NSW,Hughes,JOHNSON,ALP
NSW,Hume,PETTITT,CP
NSW,Hunter,JAMES,ALP
NSW,Kingsford-Smith,BOWEN,ALP
NSW,Lang,STEWART,ALP
NSW,Lowe,McMAHON,LP
NSW,Lyne,LUCOCK,CP
NSW,Macarthur,BATE,LP
NSW,Mackellar,WENTWORTH,LP
NSW,Macquarie,LUCHETTI,ALP
NSW,Mitchell,IRWIN,LP
NSW,New England,SINCLAIR,CP
NSW,Newcastle,JONES,ALP
NSW,North Sydney,GRAHAM,LP
NSW,Parramatta,BOWEN,LP
NSW,Paterson,O'KEEFE,CP
NSW,Phillip,ASTON,LP
NSW,Prospect,KLUGMAN,ALP
NSW,Reid,UREN,ALP
NSW,Richmond,ANTHONY,CP
NSW,Riverina,GRASSBY,ALP
NSW,Robertson,COHEN,ALP
NSW,St George,MORRISON,ALP
NSW,Shortland,GRIFFITHS,ALP
NSW,Sydney,COPE,ALP
NSW,Warringah,MACKELLAR,LP
NSW,Wentworth,BURY,LP
NSW,Werriwa,WHITLAM,ALP
VIC,Balaclava,WHITTORN,LP
VIC,Ballaarat,ERWIN,LP
VIC,Batman,GARRICK,ALP
VIC,Bendigo,KENNEDY,ALP
VIC,Bruce,SNEDDEN,LP
VIC,Burke,JOHNSON,ALP
VIC,Casey,HOWSON,LP
VIC,Chisholm,HUGHES,LP
VIC,Corangamite,STREET,LP
VIC,Corio,SCHOLES,ALP
VIC,Deakin,JARMAN,LP
VIC,Diamond Valley,BROWN,LP
VIC,Flinders,LYNCH,LP
VIC,Gellibrand,McIVOR,ALP
VIC,Gippsland,NIXON,CP
VIC,Henty,FOX,LP
VIC,Higgins,GORTON,LP
VIC,Holt,REID,LP
VIC,Hotham,CHIPP,LP
VIC,Indi,HOLTEN,CP
VIC,Isaacs,HAMER,LP
VIC,Kooyong,PEACOCK,LP
VIC,La Trobe,JESS,LP
VIC,Lalor,CAIRNS,ALP
VIC,Mcmillan,BUCHANAN,LP
VIC,Mallee,TURNBULL,CP
VIC,Maribyrnong,CASS,ALP
VIC,Melbourne,CALWELL,ALP
VIC,Melbourne Ports,CREAN,ALP
VIC,Murray,McEWEN,CP
VIC,Scullin,JENKINS,ALP
VIC,Wannon,FRASER,LP
VIC,Wills,BRYANT,ALP
VIC,Wimmera,KING,CP
QLD,Bowman,KEOGH,ALP
QLD,Brisbane,CROSS,ALP
QLD,Capricornia,EVERINGHAM,ALP
QLD,Darling Downs,SWARTZ,LP
QLD,Dawson,PATTERSON,ALP
QLD,Fisher,ADERMANN,CP
QLD,Griffith,CAMERON,LP
QLD,Herbert,BONNETT,LP
QLD,Kennedy,KATTER,CP
QLD,Leichhardt,FULTON,ALP
QLD,Lilley,CAIRNS,LP
QLD,Mcpherson,BARNES,CP
QLD,Maranoa,CORBETT,CP
QLD,Moreton,KILLEN,LP
QLD,Oxley,HAYDEN,ALP
QLD,Petrie,HULME,LP
QLD,Ryan,DRURY,LP
QLD,Wide Bay,HANSEN,ALP
SA,Adelaide,HURFORD,ALP
SA,Angas,GILES,LP
SA,Barker,FORBES,LP
SA,Bonython,NICHOLLS,ALP
SA,Boothby,McLEAY,LP
SA,Grey,WALLIS,ALP
SA,Hawker,JACOBI,ALP
SA,Hindmarsh,CAMERON,ALP
SA,Kingston,GUN,ALP
SA,Port Adelaide,BIRRELL,ALP
SA,Sturt,FOSTER,ALP
SA,Wakefield,KELLY,LP
WA,Canning,HALLETT,CP
WA,Curtin,GARLAND,LP
WA,Forrest,KIRWAN,ALP
WA,Fremantle,BEAZLEY,ALP
WA,Kalgoorlie,COLLARD,ALP
WA,Moore,MAISEY,CP
WA,Perth,BERINSON,ALP
WA,Stirling,WEBB,ALP
WA,Swan,BENNETT,ALP
TAS,Bass,BARNARD,ALP
TAS,Braddon,DAVIES,ALP
TAS,Denison,SOLOMON,LP
TAS,Franklin,SHERRY,ALP
TAS,Wilmot,DUTHIE,ALP
NT,Northern Territory,CALDER,CP
ACT,Australian Capital Territory,FRASER,ALP
