State,Division,Winner,Party
NSW,Banks,COLEMAN,LP
NSW,Barton,VARVARIS,LP
NSW,Bennelong,ALEXANDER,LP
NSW,Berowra,RUDDOCK,LP
NSW,Blaxland,CLARE,ALP
NSW,Bradfield,FLETCHER,LP
NSW,Calare,COBB,NAT
NSW,Charlton,CONROY,ALP
NSW,Chifley,HUSIC,ALP
NSW,Cook,MORRISON,LP
NSW,Cowper,HARTSUYKER,NAT
NSW,Cunningham,BIRD,ALP
NSW,Dobell,McNAMARA,LP
NSW,Eden-Monaro,HENDY,LP
NSW,Farrer,LEY,LP
NSW,Fowler,HAYES,ALP
NSW,Gilmore,SUDMALIS,LP
NSW,Grayndler,ALBANESE,ALP
NSW,Greenway,ROWLAND,ALP
NSW,Hughes,KELLY,LP
NSW,Hume,TAYLOR,LP
NSW,Hunter,FITZGIBBON,ALP
NSW,Kingsford Smith,THISTLETHWAITE,ALP
NSW,Lindsay,SCOTT,LP
NSW,Lyne,GILLESPIE,NAT
NSW,Macarthur,MATHESON,LP
NSW,Mackellar,BISHOP,LP
NSW,Mcmahon,BOWEN,ALP
NSW,Macquarie,MARKUS,LP
NSW,Mitchell,HAWKE,LP
NSW,New England,JOYCE,NAT
NSW,Newcastle,CLAYDON,ALP
NSW,North Sydney,HOCKEY,LP
NSW,Page,HOGAN,NAT
NSW,Parkes,COULTON,NAT
NSW,Parramatta,OWENS,ALP
NSW,Paterson,BALDWIN,LP
NSW,Reid,LAUNDY,LP
NSW,Richmond,ELLIOT,ALP
NSW,Riverina,McCORMACK,NAT
NSW,Robertson,WICKS,LP
NSW,Shortland,HALL,ALP
NSW,Sydney,PLIBERSEK,ALP
NSW,Throsby,JONES,ALP
NSW,Warringah,ABBOTT,LP
NSW,Watson,BURKE,ALP
NSW,Wentworth,TURNBULL,LP
NSW,Werriwa,FERGUSON,ALP
VIC,Aston,TUDGE,LP
VIC,Ballarat,KING,ALP
VIC,Batman,FEENEY,ALP
VIC,Bendigo,CHESTERS,ALP
VIC,Bruce,GRIFFIN,ALP
VIC,Calwell,VAMVAKINOU,ALP
VIC,Casey,SMITH,LP
VIC,Chisholm,BURKE,ALP
VIC,Corangamite,HENDERSON,LP
VIC,Corio,MARLES,ALP
VIC,Deakin,SUKKAR,LP
VIC,Dunkley,BILLSON,LP
VIC,Flinders,HUNT,LP
VIC,Gellibrand,WATTS,ALP
VIC,Gippsland,CHESTER,NAT
VIC,Goldstein,ROBB,LP
VIC,Gorton,O'CONNOR,ALP
VIC,Higgins,O'DWYER,LP
VIC,Holt,BYRNE,ALP
VIC,Hotham,O'NEIL,ALP
VIC,Indi,McGOWAN,IND
VIC,Isaacs,DREYFUS,ALP
VIC,Jagajaga,MACKLIN,ALP
VIC,Kooyong,FRYDENBERG,LP
VIC,La Trobe,WOOD,LP
VIC,Lalor,RYAN,ALP
VIC,Mcewen,MITCHELL,ALP
VIC,Mcmillan,BROADBENT,LP
VIC,Mallee,BROAD,NAT
VIC,Maribyrnong,SHORTEN,ALP
VIC,Melbourne,BANDT,GRN
VIC,Melbourne Ports,DANBY,ALP
VIC,Menzies,ANDREWS,LP
VIC,Murray,STONE,LP
VIC,Scullin,GILES,ALP
VIC,Wannon,TEHAN,LP
VIC,Wills,THOMSON,ALP
QLD,Blair,NEUMANN,ALP
QLD,Bonner,VASTA,LNP
QLD,Bowman,LAMING,LNP
QLD,Brisbane,GAMBARO,LNP
QLD,Capricornia,LANDRY,LNP
QLD,Dawson,CHRISTENSEN,LNP
