State,Division,Candidate,Party,Votes,Percent
NSW,Banks,"SPIGHT, Paul",GRN,8062,9.6
NSW,Banks,"PARSONS, Michael",ON,1595,1.9
NSW,Banks,"MELHAM, Daryl",ALP,36034,43.0
NSW,Banks,"DELEZIO, Ron",LP,38178,45.5
NSW,Barton,"MCCLELLAND, Hon Robert",ALP,38149,48.5
NSW,Barton,"FRANCIS, Simone",GRN,8536,10.9
NSW,Barton,"MELA, John La",LP,31998,40.7
NSW,Bennelong,"WATERSON, Victor",ON,725,0.9
NSW,Bennelong,"WORSLEY, Julie",CDP,1842,2.1
NSW,Bennelong,"RAY, Sue",IND,1105,1.3
NSW,Bennelong,"MOCKLER, Mary",IND,478,0.6
NSW,Bennelong,"CHAVURA, Stephen",FF,570,0.7
NSW,Bennelong,"POUNDER, Bill",IND,275,0.3
NSW,Bennelong,"PETERS, Lindsay",GRN,6808,8.0
NSW,Bennelong,"MCKEW, Hon Maxine",ALP,31803,37.1
NSW,Bennelong,"LEVINE, Martin",IND,170,0.2
NSW,Bennelong,"ALEXANDER, John",LP,41582,48.5
NSW,Bennelong,"PETERSEN, Terje",IND,344,0.4
NSW,Berowra,"EVANS, Steve",CDP,2350,2.7
NSW,Berowra,"RUDDOCK, Hon Philip",LP,51416,60.0
NSW,Berowra,"WRIGHT-TURNER, Toni",GRN,9762,11.4
NSW,Berowra,"STOVE, Michael",ALP,18901,22.1
NSW,Berowra,"ELLIS, Christian",FF,840,1.0
NSW,Berowra,"GALLAGHER, Mick",IND,2455,2.9
NSW,Blaxland,"PHILLIPS, Richard",IND,2058,2.8
NSW,Blaxland,"MICHELS, Malikeh",GRN,4625,6.3
NSW,Blaxland,"BALL, David",IND,1153,1.6
NSW,Blaxland,"CHARAF, Abdul",IND,2131,2.9
NSW,Blaxland,"CLARE, Hon Jason",ALP,37641,51.0
NSW,Blaxland,"MAJEWSKI, Mark",LP,24583,33.3
NSW,Blaxland,"POULSEN, Ronald",IND,288,0.4
NSW,Blaxland,"VINNICOMBE, Bob",ON,1351,1.8
NSW,Bradfield,"GEMMELL, Susie",GRN,14231,16.3
NSW,Bradfield,"GALLARD, Sarah",ALP,16742,19.2
NSW,Bradfield,"FLETCHER, Paul",LP,56143,64.5
NSW,Calare,"NORSWORTHY, Jessyka",CDP,1957,2.2
NSW,Calare,"BLANCH, Paul",IND,4137,4.6
NSW,Calare,"DUFFY, Kevin",ALP,25926,29.1
NSW,Calare,"ROMANO, Karen",IND,3276,3.7
NSW,Calare,"BUCKINGHAM, Jeremy",GRN,5354,6.0
NSW,Calare,"COBB, Hon John",NAT,46775,52.4
NSW,Calare,"MACGREGOR, Ross",IND,1817,2.0
NSW,Charlton,"COMBET, Hon Greg",ALP,44159,53.2
NSW,Charlton,"LAWLER, Ann",IND,881,1.1
NSW,Charlton,"MCDONALD, John",LP,25514,30.7
NSW,Charlton,"MCKENZIE, Ian",GRN,7339,8.8
NSW,Charlton,"BARRY, Patrick",IND,2846,3.4
NSW,Charlton,"PICKSTONE, Mitchell",CDP,2341,2.8
NSW,Chifley,"ROBERTSON, Debbie",GRN,6776,8.4
NSW,Chifley,"COOKSLEY, Terry",IND,943,1.2
NSW,Chifley,"HUSIC, Ed",ALP,41456,51.6
NSW,Chifley,"DARLEY, Keith",AD,1174,1.5
NSW,Chifley,"VINCENT, Dave",CDP,4068,5.1
NSW,Chifley,"KEDWELL, Louise",ON,1585,2.0
NSW,Chifley,"PRIEST, Venus",LP,24369,30.3
NSW,Cook,"STRANG, Graeme",IND,1568,1.8
NSW,Cook,"SCAYSBROOK, Peter",ALP,25806,28.8
NSW,Cook,"MORRISON, Scott",LP,51852,57.9
NSW,Cook,"FOY, Merelyn",FF,719,0.8
NSW,Cook,"WAIZER, Naomi",GRN,6924,7.7
NSW,Cook,"SMITH, Beth",CDP,1722,1.9
NSW,Cook,"PUTRAL, Richard",ON,997,1.1
NSW,Cowper,"SEKFY, Paul",ALP,23696,27.8
NSW,Cowper,"KING, Dominic",GRN,7745,9.1
NSW,Cowper,"ARKAN, John",IND,8446,9.9
NSW,Cowper,"LIONS, Deborah",CDP,2039,2.4
NSW,Cowper,"HARTSUYKER, Luke",NAT,43242,50.8
NSW,Cunningham,"CLIFFORD, Philip",LP,29241,32.9
NSW,Cunningham,"BIRD, Sharon",ALP,43769,49.2
NSW,Cunningham,"FLANAGAN, John",IND,1240,1.4
NSW,Cunningham,"TAKACS, George",GRN,13461,15.1
NSW,Cunningham,"MOORE, Jess",IND,1303,1.5
NSW,Dobell,"AVASALU, Rhonda",CDP,2005,2.4
NSW,Dobell,"MCNAMARA, John",LP,33287,40.2
NSW,Dobell,"THOMSON, Craig",ALP,38268,46.3
NSW,Dobell,"BRETT, Gavin",FF,2033,2.5
NSW,Dobell,"RICKARD, Scott",GRN,7121,8.6
NSW,Eden-Monaro,"QUILTY, Olga",IND,1152,1.4
NSW,Eden-Monaro,"KELLY, Hon Dr Mike",ALP,37225,43.6
NSW,Eden-Monaro,"GAZARD, David",LP,35714,41.8
NSW,Eden-Monaro,"FRAGIACOMO, Frank",IND,559,0.7
NSW,Eden-Monaro,"BUCKLEY, Ray",IND,1019,1.2
NSW,Eden-Monaro,"GRADWELL, Tom",FF,761,0.9
NSW,Eden-Monaro,"BENNETT, Ursula",CDP,637,0.8
NSW,Eden-Monaro,"MOORE, Catherine",GRN,8296,9.7
NSW,Farrer,"CROTHERS, Mathew",IND,1099,1.3
NSW,Farrer,"CARRUTHERS, Peter",GRN,4880,5.9
NSW,Farrer,"CLANCY, Jason",IND,724,0.9
NSW,Farrer,"LEY, Hon Sussan",LP,42646,51.4
NSW,Farrer,"EMMERY, Christian",ALP,20931,25.3
NSW,Farrer,"BURGE, Louise",IND,9350,11.3
NSW,Farrer,"BINGLE, Stephen",AD,603,0.7
NSW,Farrer,"MALE, James",CDP,2664,3.2
NSW,Fowler,"HEAD, Mike",IND,2700,3.5
NSW,Fowler,"DANG, Thomas",LP,28402,36.9
NSW,Fowler,"HAYES, Chris",ALP,40636,52.9
NSW,Fowler,"WESTERBERG, Signe",GRN,5144,6.7
NSW,Gilmore,"BRUMERSKYJ, Bohdan",CDP,2310,2.7
NSW,Gilmore,"WIJNGAART, Ben van der",GRN,8279,9.6
NSW,Gilmore,"CUNNINGHAM, Elizabeth",FF,781,0.9
NSW,Gilmore,"REILLY, Neil",ALP,30430,35.2
NSW,Gilmore,"GASH, Joanna",LP,44050,50.9
NSW,Gilmore,"WILLIAMS, Annette",IND,275,0.3
NSW,Gilmore,"KEYS, Don",IND,374,0.4
NSW,Grayndler,"COGAN, James",IND,1041,1.3
NSW,Grayndler,"HINMAN, Pip",IND,1022,1.2
NSW,Grayndler,"DORE, Alexander",LP,20178,24.2
NSW,Grayndler,"ALBANESE, Hon Anthony",ALP,38369,46.1
NSW,Grayndler,"BYRNE, Sam",GRN,21555,25.9
NSW,Grayndler,"GAROFANI, Penny",AD,1074,1.3
NSW,Greenway,"ROWLAND, Michelle",ALP,33567,42.3
NSW,Greenway,"DIAZ, Jaymes",LP,32788,41.3
NSW,Greenway,"SANTOS, Michael",IND,770,1.0
NSW,Greenway,"PETTITT, Tony",IND,780,1.0
NSW,Greenway,"GREEN, Allan",CDP,2922,3.7
NSW,Greenway,"BAIADA, John",IND,815,1.0
NSW,Greenway,"VILLAVER, Ronaldo",AD,529,0.7
NSW,Greenway,"LIMA, Joaquim De",IND,542,0.7
NSW,Greenway,"TANDA, Amarjit",IND,530,0.7
NSW,Greenway,"TAYLOR, Paul",GRN,4769,6.0
NSW,Greenway,"MULLER, Iris",FF,1296,1.6
NSW,Hughes,"BUSSA, Peter",ON,1599,1.9
NSW,Hughes,"KELLY, Craig",LP,42424,49.2
NSW,Hughes,"ROBERTS, Susan",GRN,5430,6.3
NSW,Hughes,"HURLEY, Stan",FF,1183,1.4
NSW,Hughes,"NAILON, Scott",CDP,2112,2.5
NSW,Hughes,"NGUYEN, Don",IND,948,1.1
NSW,Hughes,"THOMAS, Brent",ALP,32611,37.8
NSW,Hume,"LIPTAK, Charles",FF,2075,2.4
NSW,Hume,"BUTLER, Greg",AD,1280,1.5
NSW,Hume,"SAVILLE, Robin",ALP,28044,31.9
NSW,Hume,"MILAT, Lisa",IND,1197,1.4
NSW,Hume,"WATCHIRS, Kevin",GRN,6737,7.7
NSW,Hume,"BUTTIGIEG, Karen",CDP,1546,1.8
NSW,Hume,"SCHULTZ, Alby",LP,47137,53.6
NSW,Hunter,"PARKER, Chris",GRN,7251,8.9
NSW,Hunter,"LEAYR, Jennifer",ON,2721,3.4
NSW,Hunter,"FITZGIBBON, Hon Joel",ALP,44159,54.3
NSW,Hunter,"RILEY, Wayne",CDP,1938,2.4
NSW,Hunter,"JOHNSON, Michael",NAT,25245,31.1
NSW,Kingsford Smith,"FENELEY, Michael",LP,33836,41.3
NSW,Kingsford Smith,"GARRETT, Hon Peter",ALP,35957,43.8
NSW,Kingsford Smith,"HAMBIDES, Zac",IND,576,0.7
NSW,Kingsford Smith,"CARMONT, Josh",AD,1047,1.3
NSW,Kingsford Smith,"SHUREY, Lindsay",GRN,9885,12.1
NSW,Kingsford Smith,"CUNNINGHAM, John",ON,728,0.9
NSW,Lindsay,"BRADBURY, David",ALP,37076,44.6
NSW,Lindsay,"BROWN, Geoff",IND,1583,1.9
NSW,Lindsay,"GREEN, Andrew",CDP,2502,3.0
NSW,Lindsay,"SAUNDERS, Mick",IND,976,1.2
NSW,Lindsay,"PHILLIPS, John",FF,1032,1.2
NSW,Lindsay,"WRIGHT, Suzie",GRN,3944,4.7
NSW,Lindsay,"SCOTT, Fiona",LP,36114,43.4
NSW,Lyne,"OAKESHOTT, Rob",IND,40061,47.2
NSW,Lyne,"LIPS, Frederik",ALP,11459,13.5
NSW,Lyne,"GILLESPIE, Dr David",NAT,29216,34.4
NSW,Lyne,"WRIGHT, Barry",IND,586,0.7
NSW,Lyne,"OXENFORD, Ian",GRN,3645,4.3
NSW,Macarthur,"MCCULLOCH, Kate",ON,2338,3.0
NSW,Macarthur,"BLEASDALE, Nick",ALP,30151,38.6
NSW,Macarthur,"CAMMARERI, Domenic",IND,512,0.7
NSW,Macarthur,"MATHESON, Russell",LP,37069,47.4
NSW,Macarthur,"NORSWORTHY, Nolene",CDP,1377,1.8
NSW,Macarthur,"BLASIO, Jessica Di",GRN,4347,5.6
NSW,Macarthur,"MEAD, Clinton",AD,652,0.8
NSW,Macarthur,"HERBERT, Grant",FF,1757,2.3
NSW,Mackellar,"KING, Jonathan",GRN,14609,16.8
NSW,Mackellar,"BEATTIE, Linda",ALP,18381,21.1
NSW,Mackellar,"BISHOP, Hon Bronwyn",LP,54110,61.1
NSW,Mcmahon,"O'NEILL, Astrid",GRN,6428,8.1
NSW,Mcmahon,"ELISHE, Jamal",LP,28950,36.3
NSW,Mcmahon,"POULARAS, Manny",CDP,3549,4.4
NSW,Mcmahon,"BOWEN, Hon Chris",ALP,40933,51.3
NSW,Macquarie,"WHELAN, Peter",IND,2087,2.4
NSW,Macquarie,"BELL, Amy",IND,1778,2.0
NSW,Macquarie,"MCCALLUM, Carmel",GRN,12317,14.1
NSW,Macquarie,"TREMETHICK, Terry",IND,591,0.7
NSW,Macquarie,"TEMPLEMAN, Susan",ALP,28284,32.4
NSW,Macquarie,"BATES, John",IND,676,0.8
NSW,Macquarie,"PORTELLI, Luke",CDP,1883,2.2
NSW,Macquarie,"CORNELIUS, Jason",FF,922,1.1
NSW,Macquarie,"MARKUS, Louise",LP,38867,44.5
NSW,Mitchell,"PRENTICE, Brendon",CDP,2855,3.4
NSW,Mitchell,"GOULD, Nigel",ALP,22046,26.3
NSW,Mitchell,"HAWKE, Alex",LP,52465,62.7
NSW,Mitchell,"DAWSON, Colin",GRN,6363,7.6
NSW,New England,"SMITH, Greg",ALP,7414,8.1
NSW,New England,"SCHULTZ, Pat",GRN,3252,3.6
NSW,New England,"DETTMANN, Brian",ON,794,0.9
NSW,New England,"COATES, Tim",NAT,22991,25.2
NSW,New England,"WITTEN, Richard",IND,306,0.3
NSW,New England,"WINDSOR, Tony",IND,56415,61.9
NSW,Newcastle,"LUKE, Brad",LP,25680,31.3
NSW,Newcastle,"OSBORNE, Michael",GRN,12677,15.5
NSW,Newcastle,"WINTER, Dean",AD,1419,1.7
NSW,Newcastle,"HOLT, Noel",IND,627,0.8
NSW,Newcastle,"CAINE, Milton",CDP,1479,1.8
NSW,Newcastle,"GRIERSON, Sharon",ALP,39253,47.9
NSW,Newcastle,"ALCORN, Zane",IND,829,1.0
NSW,North Sydney,"HOCKEY, Hon Joe",LP,51179,59.7
NSW,North Sydney,"WEBB, Leta",ALP,18961,22.1
NSW,North Sydney,"PEARCE, Daniel",AD,1275,1.5
NSW,North Sydney,"ROBJOHNS, Andrew",GRN,13314,15.5
NSW,North Sydney,"LE, Daniel",FF,980,1.1
NSW,Page,"JOHNSON, Jeff",GRN,7325,8.6
NSW,Page,"SAFFIN, Janelle",ALP,39043,45.7
NSW,Page,"HOGAN, Kevin",NAT,36263,42.5
NSW,Page,"SUMMERVILLE, Merle",IND,896,1.1
NSW,Page,"MELLAND, Julia",AD,598,0.7
NSW,Page,"BEHN, Doug",IND,1259,1.5
NSW,Parkes,"PARMENTER, Matt",GRN,5028,5.6
NSW,Parkes,"CLEMENTS, John",IND,9146,10.2
NSW,Parkes,"BROOKS, Andrew",ALP,19081,21.3
NSW,Parkes,"COULTON, Mark",NAT,53154,59.2
NSW,Parkes,"COLLESS, Mick",IND,3326,3.7
NSW,Parramatta,"GORDON, Chris",IND,1203,1.5
NSW,Parramatta,"PATEL, Kalpesh",IND,1436,1.8
NSW,Parramatta,"OWENS, Julie",ALP,34818,44.5
NSW,Parramatta,"BRADLEY, Phil",GRN,6237,8.0
NSW,Parramatta,"SHARAH, Alex",CDP,2404,3.1
NSW,Parramatta,"RODEN, Duncan",IND,330,0.4
NSW,Parramatta,"CAMENZULI, Charles",LP,31889,40.7
NSW,Paterson,"LEAYR, Kevin",ON,1044,1.3
NSW,Paterson,"BALFOUR, Anna",CDP,870,1.1
NSW,Paterson,"LAMBERT, Veronica",FF,674,0.8
NSW,Paterson,"DAVIS, Jan",GRN,4936,6.0
NSW,Paterson,"BALDWIN, Hon Bob",LP,42262,51.3
NSW,Paterson,"ARNEMAN, Jim",ALP,31522,38.3
NSW,Paterson,"HENNELLY, Paul",IND,379,0.5
NSW,Paterson,"WIEDENHORN, Josef",IND,699,0.9
NSW,Reid,"SHAILER, Bill",CDP,2445,3.1
NSW,Reid,"MURPHY, Hon John",ALP,33051,41.5
NSW,Reid,"BUTLER, Adam",GRN,8903,11.2
NSW,Reid,"COOPER, Peter",LP,34328,43.1
NSW,Reid,"KENNETT, Carolyn",IND,901,1.1
NSW,Richmond,"LIESHOUT, Joan van",LP,15425,19.1
NSW,Richmond,"ELLIOT, Hon Justine",ALP,31679,39.2
NSW,Richmond,"HARTLEY, Matthew",IND,805,1.0
NSW,Richmond,"ROBINSON, David",AD,502,0.6
NSW,Richmond,"FAULKNER, Nic",IND,536,0.7
NSW,Richmond,"HUNTER, Alan",NAT,17146,21.2
NSW,Richmond,"BOYD, Julie",IND,940,1.2
NSW,Richmond,"EBONO, Joe",GRN,13056,16.2
NSW,Richmond,"HEGEDUS, Stephen",IND,747,0.9
NSW,Riverina,"QUILTY, Tim",IND,1703,1.9
NSW,Riverina,"LEVER, Rhonda",FF,1081,1.2
NSW,Riverina,"HOGG, Matthew",IND,5148,5.9
NSW,Riverina,"MCCORMACK, Michael",NAT,39389,44.8
NSW,Riverina,"HESKETH, Craig",ON,1411,1.6
NSW,Riverina,"HAKELIS, Robin",ALP,19559,22.2
